"50","Une belle découverte !","Très bel endroit où l’on se sent de suite à l’aise, un accueil avenant et chaleureux et une carte où tout fait envie, il y a même un plat végétarien! On sent qu’ici on travaille les produits frais en accord avec la saison. Cerise sur..."
"50","courrez y à midi!","un restaurant syrien ouvert malheureusement qu'à midi mais ou tout est remarquable: le service hyper souriant, les plats excellents et faits maison (hum le'assiette Chiche Taouk) très copieux, on regrette juste l'étroitesse de la salle mais plein de gens prennent à emporter. AUn excellent rapport..."
"40","Très bon restaurant aux produits frais et savoureux","Les produits servis sont très frais, savoureux. Le service est rapide et le rapport qualité/prix imbattable. Les mezzés sont à 5€ et les assiettes plus que généreuses à 11€"
"50","rapide tres bon","un pur régale les préparation sont au top , service rapide attention y a la queue , s y prendre plutôt à 13H"
"50","Les meilleurs brochettes de poulet qu'on ait mangé","L'extérieur ne paie pas de mine mais la cuisine est vraiment excellente.
A 11€ toutes les differentes assiettes, on ne va pas s'en priver ! Pour notre part, c'est chiche taouk ou assortiment de mezze.
L'assiette de chiche taouk est composee de 2 (tres grandes)..."
"50","Succulent","Nous sommes tombés sous le charme. Les assiettes repartent vide à chaque fois. Les desserts sont délicieux aussi. Même les enfants adorent. D’ailleurs le restaurant est toujours pleins."
"50","Toujours TOP","Enfin ouvert après travaux. Rapport qualité/ prix toujours là, et très bon. Personnel au taquet mais toujours gracieux et agréable."
"50","Excellentes assiettes et mezzes","Une super adresse, populaire et pour une très bonne raison. Les assiettes et les mezzes sont excellentes, l’accueil et le prix sympa. Que demander de plus?
Bravo, continuez !"
"50","Excellent restaurant","Bonjour, enfin après ouverture de ce restaurant que j’attendais avec un impatience, j’y suis allée avec des amis pour manger. Je suis ravis de faire cette découverte que je recommande a tous, excellent service accueil chaleureux avec le sourire et service rapide. Endroit propre et..."
"50","Excellent ","J'y suis allé manger avec mes parents au mois de juillet: Restaurant très bon, excellent rapport qualité/prix, bon personnel. Seul hic : restaurant un peu petit Je recommande"
"50","Cuisine saine pour un super rapport qualité prix","Je prends régulièrement à emporter dans cet établissement. A chaque fois je commande ce qu'ils appellent ""l'assiette"" c'est-à-dire un ensemble avec deux brochettes, une grosse platée de riz, du taboulé et de l'humus avec plusieurs tranches de pita. Le tout pour 10 euros.
C'est savoureux..."
"50","Un an plus tard, toujours sur le podium !","Après un an à venir régulièrement au Magic Candy Bar depuis notre arrivée sur Grenoble, je peux confirmer que c'est mon restaurant coup de cœur de l'année et que c'est LE restaurant où venir déguster un bon burger dans une ambiance chaleureuse et où l'on..."
"50"," Super brunch !","Nous sommes venus faire un brunch avec nos enfants et c était super ! Pourtant nous étions nombreux (3 adultes et 5 enfants), mais il y avait de l espace pour tout le monde, une carte adaptée à tous et un accueil digne de ce..."
"50","Concept orignal une belle adresse","Soiree d anniversaires entre copines. Des coktails maisons originaux tres bons. La gentillesse du peronnel. Des plats maison copieux et trop bon! Parfait pour un prix tres correct a refaire..."
"40","Le top du brunch.","Dans la semaine, il y a un plat du jour à prix très raisonnable et généralement goûteux, mais il faut absolument y aller le week-end pour tester les ""brunch"".
Il y a largement le choix entre plusieurs sur des thèmes différents, français, nordique, américain, etc....."
"20","Déçue des potatoes, cuisson viande aussi","Potatoes de la veille, c'est une certitude ! Pas fraîche, dure et archi cuite car laissées au four pour conserver au chaud, forcément ça durcit, même avec le couteau ça été difficile de les couper sans faire de bruit !
Bref, un resto réputé pour..."
"40","A recommander","Une agréable surprise, vraiment. Les burgers sont juste énormes, les salades sont au moins aussi biens, et le gratin de ravioles était généreux et goûtu. Desserts vraiment bons (même si nous n'avions plus du tout fin déjà en milieu de plat de résistance...). Le jeune..."
"40","À tester !","""Magic Candy Bar"" est un lieu idéal pour déguster de succulents burgers ! Avec sa déco' vintage, le cadre du restaurant est parfait pour faire une déjeuner / dîner entre amis, tout ça sans chichi ! Chaque produit servit dans l'assiette est frais et plein..."
"20","Assez déçu","Nous sommes venus avec ma compagne afin de manger un hamburger, l'attente fut longue (1h entre le moment où nous sommes arrivés et où l'on a été servis sachant qu'il n'y avait pas énormément de monde et que nous avons commander des burgers !!!).
Les..."
"10","Intoxication alimentaire","Attente de plus d'une heure pour être servis. Carte pas à jour, personnel désagréable, table à dessert complètement vide et le comble : mon mari et moi avons eu une intoxication alimentaire. A fuir."
"40","Beau concept ","Découverte insolite de ce petit restaurant lors d’une visite à Grenoble : je n’ai testé que le « salad bar » mais c’est top ; on compose sa salade et c’est super sympa de pouvoir mettre ce qu’on veut dedans parmi un large choix ! Les desserts..."
